,portfolio_value,returns
2019-09-17 10:00:00+00:00,96909.04678226347,0.003573797586982952
2019-09-18 10:00:00+00:00,96696.54678226347,-0.002192777733924567
2019-09-19 10:00:00+00:00,96897.14678226347,0.0020745311665752997
2019-09-20 10:00:00+00:00,95965.54678226347,-0.00961431818104408
2019-09-23 10:00:00+00:00,96085.14573403154,0.0012462696850925603
2019-09-24 10:00:00+00:00,95656.14573403154,-0.004464790022668974
2019-09-25 10:00:00+00:00,94940.04573403153,-0.0074861891466032615
2019-09-26 10:00:00+00:00,95048.94573403154,0.0011470396833925811
2019-09-27 10:00:00+00:00,94996.14573403154,-0.0005555032682608152
2019-09-30 10:00:00+00:00,94666.14573403154,-0.0034738251478532156
2019-10-01 10:00:00+00:00,94179.39573403154,-0.005141753646203728
2019-10-03 10:00:00+00:00,94151.34573403154,-0.00029783584595521884
2019-10-04 10:00:00+00:00,93961.59573403154,-0.0020153721491780185
2019-10-07 10:00:00+00:00,93943.44573403154,-0.00019316402470825889
2019-10-09 10:00:00+00:00,94364.19573403154,0.004478758435061181
2019-10-10 10:00:00+00:00,94111.74573403154,-0.002675273158810443
2019-10-11 10:00:00+00:00,94123.29573403153,0.00012272644514155218
2019-10-14 10:00:00+00:00,94144.74573403154,0.00022789257253186257
2019-10-15 10:00:00+00:00,94253.64573403154,0.0011567294504957193
2019-10-16 10:00:00+00:00,94167.84573403154,-0.0009103096154192691
2019-10-17 10:00:00+00:00,94478.04573403153,0.0032941180461549813
2019-10-18 10:00:00+00:00,94606.74573403154,0.0013622212335160366
2019-10-22 10:00:00+00:00,94644.69573403154,0.00040113418663279
2019-10-23 10:00:00+00:00,94806.39573403154,0.0017084951115948765
2019-10-24 10:00:00+00:00,94402.14573403154,-0.004263952836410789
2019-10-25 10:00:00+00:00,95040.69573403154,0.006764147096815387
2019-10-29 10:00:00+00:00,94992.84573403154,-0.0005034685366142044
2019-10-30 10:00:00+00:00,95293.14573403154,0.0031612907022577907
2019-10-31 10:00:00+00:00,96055.44573403154,0.007999526032309134
2019-11-01 10:00:00+00:00,96071.94573403154,0.00017177578922167314
2019-11-04 10:00:00+00:00,96085.14573403154,0.00013739702989390423
2019-11-05 10:00:00+00:00,96253.44573403154,0.001751571470431701
2019-11-06 10:00:00+00:00,96202.29573403153,-0.0005314095470549951
2019-11-07 10:00:00+00:00,96218.79573403153,0.0001715135784867705
2019-11-08 10:00:00+00:00,96162.69573403154,-0.0005830461665209397
2019-11-11 10:00:00+00:00,96245.19573403154,0.0008579210406931548
2019-11-13 10:00:00+00:00,95847.54573403153,-0.004131634799713901
2019-11-14 10:00:00+00:00,95829.39573403154,-0.00018936322115481463
2019-11-15 10:00:00+00:00,96382.14573403154,0.00576806308509048
2019-11-18 10:00:00+00:00,96446.49573403154,0.0006676547768253993
2019-11-19 10:00:00+00:00,96642.84573403154,0.0020358437961442988
2019-11-20 10:00:00+00:00,96533.94573403154,-0.0011268294013163649
2019-11-21 10:00:00+00:00,96677.49573403154,0.0014870416712844392
2019-11-22 10:00:00+00:00,96591.69573403154,-0.0008874867863358782
2019-11-25 10:00:00+00:00,96811.14573403154,0.0022719344383832496
2019-11-26 10:00:00+00:00,96791.34573403154,-0.0002045219055086811
2019-11-27 10:00:00+00:00,97111.44573403154,0.00330711384961635
2019-11-28 10:00:00+00:00,97243.44573403154,0.0013592630508407755
2019-11-29 10:00:00+00:00,97005.84573403154,-0.002443352332967108
2019-12-02 10:00:00+00:00,96926.64573403154,-0.0008164456420196586
2019-12-03 10:00:00+00:00,96827.64573403154,-0.0010213909627251327
2019-12-04 10:00:00+00:00,96986.04573403153,0.0016358964301899093
2019-12-05 10:00:00+00:00,96811.14573403154,-0.001803352210890563
2019-12-06 10:00:00+00:00,96227.04573403153,-0.006033396212505315
2019-12-09 10:00:00+00:00,96189.09573403154,-0.0003943797682918193
2019-12-10 10:00:00+00:00,96060.39573403154,-0.001337989498891523
2019-12-11 10:00:00+00:00,96005.94573403154,-0.0005668308940841582
2019-12-12 10:00:00+00:00,96324.39573403154,0.003316982063612972
2019-12-13 10:00:00+00:00,96717.09573403154,0.004076848829493995
2019-12-16 10:00:00+00:00,96689.04573403153,-0.00029002111557541177
2019-12-17 10:00:00+00:00,96725.34573403154,0.00037543032640807716
2019-12-18 10:00:00+00:00,96520.74573403154,-0.0021152677041091916
2019-12-19 10:00:00+00:00,96557.04573403153,0.00037608495172647416
2019-12-20 10:00:00+00:00,96852.39573403154,0.0030588135516651516
2019-12-23 10:00:00+00:00,96692.34573403154,-0.00165251462069671
2019-12-24 10:00:00+00:00,96677.49573403154,-0.00015357989184416887
2019-12-26 10:00:00+00:00,96624.69573403154,-0.0005461457146682669
2019-12-27 10:00:00+00:00,96850.74573403154,0.002339464029177618
2019-12-30 10:00:00+00:00,96759.99573403154,-0.0009370087892686119
2019-12-31 10:00:00+00:00,96731.94573403154,-0.00028989253035005547
2020-01-01 10:00:00+00:00,96778.14573403154,0.00047760850512656994
2020-01-02 10:00:00+00:00,96903.54573403153,0.0012957470826586714
2020-01-03 10:00:00+00:00,96745.14573403154,-0.0016346151092835326
2020-01-06 10:00:00+00:00,96230.34573403154,-0.005321197214538165
2020-01-07 10:00:00+00:00,96213.84573403154,-0.0001714635843208523
2020-01-08 10:00:00+00:00,96261.69573403154,0.0004973296684585016
2020-01-09 10:00:00+00:00,96613.14573403154,0.0036509849252088777
2020-01-10 10:00:00+00:00,96690.69573403154,0.0008026857981986435
2020-01-13 10:00:00+00:00,96632.94573403154,-0.0005972653269437078
2020-01-14 10:00:00+00:00,96550.44573403154,-0.0008537460942883435
2020-01-15 10:00:00+00:00,96415.14573403154,-0.0014013399831700468
2020-01-16 10:00:00+00:00,96385.44573403154,-0.00030804288863395257
2020-01-17 10:00:00+00:00,96215.49573403154,-0.0017632330141311714
2020-01-20 10:00:00+00:00,96085.14573403154,-0.0013547713806967288
2020-01-21 10:00:00+00:00,96081.84573403154,-3.434453863604414e-05
2020-01-22 10:00:00+00:00,96141.24573403154,0.0006182229280276008
2020-01-23 10:00:00+00:00,96387.09573403154,0.0025571751033901524
2020-01-24 10:00:00+00:00,96425.04573403153,0.000393724903847259
2020-01-27 10:00:00+00:00,96167.64573403154,-0.0026694309350911993
2020-01-28 10:00:00+00:00,96164.34573403154,-3.431507525020194e-05
2020-01-29 10:00:00+00:00,96182.49573403154,0.00018873939048269506
2020-01-30 10:00:00+00:00,95953.14573403154,-0.0023845295159965474
2020-01-31 10:00:00+00:00,96220.44573403154,0.0027857346203210565
2020-02-03 10:00:00+00:00,95816.14558346602,-0.004201811241688502
2020-02-04 10:00:00+00:00,95568.64558346602,-0.0025830719707296
2020-02-05 10:00:00+00:00,95403.64558346602,-0.0017265076740665686
2020-02-06 10:00:00+00:00,95071.99558346602,-0.003476282252860452
2020-02-07 10:00:00+00:00,95113.24558346602,0.0004338817098223924
2020-02-10 10:00:00+00:00,95164.39558346602,0.0005377799872794409
2020-02-11 10:00:00+00:00,94956.49558346602,-0.002184640576187502
2020-02-12 10:00:00+00:00,95093.44558346602,0.001442239408252055
2020-02-13 10:00:00+00:00,94855.84558346601,-0.002498594919367547
2020-02-14 10:00:00+00:00,95108.29558346601,0.0026614068795354218
2020-02-17 10:00:00+00:00,95281.54558346601,0.001821607662477298
2020-02-18 10:00:00+00:00,95170.99558346602,-0.0011602456627148872
2020-02-19 10:00:00+00:00,95100.04558346601,-0.000745500239490382
2020-02-20 10:00:00+00:00,94849.24558346602,-0.0026372227106860047
2020-02-24 10:00:00+00:00,95014.24558346602,0.0017396026608855752
2020-02-25 10:00:00+00:00,94849.24558346602,-0.0017365816987418015
