,transaction_str,txn_id
37,"[{'amount': 8, 'dt': Timestamp('2016-02-24 04:16:00+0000', tz='UTC'), 'price': 67.10000300823712, 'order_id': '005a230a021f42e9a5012fcc387701be', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 1, 'dt': Timestamp('2016-02-24 04:16:00+0000', tz='UTC'), 'price': 156.60000001708872, 'order_id': '29c2d965233c49879aee00e0c323c2a7', 'sid': Equity(7 [SBIN]), 'commission': None}]",37
38,"[{'amount': 1, 'dt': Timestamp('2016-02-25 04:16:00+0000', tz='UTC'), 'price': 1019.2000114232313, 'order_id': '3b34236eedf94745938bd2b061afb787', 'sid': Equity(2 [HDFC]), 'commission': None}]",38
39,"[{'amount': -3, 'dt': Timestamp('2016-02-26 04:16:00+0000', tz='UTC'), 'price': 68.4499999797593, 'order_id': '4260c0ea859c4f13a4648d5aff56e88e', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 2, 'dt': Timestamp('2016-02-26 04:16:00+0000', tz='UTC'), 'price': 153.45000003730132, 'order_id': '870db9b3534a45f99803f9c6fc2fa138', 'sid': Equity(7 [SBIN]), 'commission': None}]",39
40,"[{'amount': -2, 'dt': Timestamp('2016-02-29 04:16:00+0000', tz='UTC'), 'price': 70.14999987691893, 'order_id': '3916ef3779184c23b825543e20070f79', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': -2, 'dt': Timestamp('2016-02-29 04:16:00+0000', tz='UTC'), 'price': 160.34999999273333, 'order_id': 'c2f98157f37a4284adfe2bdb284847a1', 'sid': Equity(7 [SBIN]), 'commission': None}]",40
41,[],41
42,"[{'amount': -4, 'dt': Timestamp('2016-03-02 04:16:00+0000', tz='UTC'), 'price': 73.39999999068986, 'order_id': '68d55979feaa46d689f6ae1e815ef87e', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': -6, 'dt': Timestamp('2016-03-02 04:16:00+0000', tz='UTC'), 'price': 176.19999999055798, 'order_id': '403e0ccfbfa249869c53cd91ed69e2c6', 'sid': Equity(7 [SBIN]), 'commission': None}]",42
43,"[{'amount': -3, 'dt': Timestamp('2016-03-03 04:16:00+0000', tz='UTC'), 'price': 75.69999997611765, 'order_id': '3a7a5dfb0dec4e34897f9660361f8e95', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",43
44,"[{'amount': -7, 'dt': Timestamp('2016-03-04 04:16:00+0000', tz='UTC'), 'price': 78.39999919379692, 'order_id': '4386662b917d40f8abdad9d0a0fa220f', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",44
45,"[{'amount': -8, 'dt': Timestamp('2016-03-08 04:16:00+0000', tz='UTC'), 'price': 83.94999987321184, 'order_id': 'e8cff260919c4606aa4360556cf966bc', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': -1, 'dt': Timestamp('2016-03-08 04:16:00+0000', tz='UTC'), 'price': 186.14999999676536, 'order_id': '4847e9f96ddd4d5b9fa3046b645ac452', 'sid': Equity(7 [SBIN]), 'commission': None}]",45
46,"[{'amount': 5, 'dt': Timestamp('2016-03-09 04:16:00+0000', tz='UTC'), 'price': 80.05000065504053, 'order_id': 'f5ee9894b73b476aa8ccb1537a350355', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",46
47,"[{'amount': -5, 'dt': Timestamp('2016-03-10 04:16:00+0000', tz='UTC'), 'price': 83.24999986525364, 'order_id': '5d93800f13044687b05098342f4e1ca5', 'sid': Equity(4 [HINDALCO]), 'commission': None}]",47
48,"[{'amount': -1, 'dt': Timestamp('2016-03-11 04:16:00+0000', tz='UTC'), 'price': 84.24999992638527, 'order_id': '322e512a9ccf4a7782f56fbb01e6d0d3', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': 1, 'dt': Timestamp('2016-03-11 04:16:00+0000', tz='UTC'), 'price': 182.15000000195525, 'order_id': 'bf11876e6d254d29b98757e618e4252e', 'sid': Equity(7 [SBIN]), 'commission': None}]",48
49,[],49
50,[],50
51,"[{'amount': 2, 'dt': Timestamp('2016-03-16 04:16:00+0000', tz='UTC'), 'price': 82.30000001405358, 'order_id': 'b8cd64c0848548b9b56d01f781badd17', 'sid': Equity(4 [HINDALCO]), 'commission': None}, {'amount': -1, 'dt': Timestamp('2016-03-16 04:16:00+0000', tz='UTC'), 'price': 184.89999999290652, 'order_id': 'f9d4b7b60ca449b4b701946139beea3c', 'sid': Equity(7 [SBIN]), 'commission': None}]",51
