,period_open,period_close,longs_count,portfolio_value,ending_cash,starting_cash,ending_value,starting_value,net_leverage,gross_leverage,ending_exposure,returns,short_exposure,starting_exposure,long_exposure,positions,transactions,short_value,orders,capital_used,pnl,long_value,shorts_count,pipeline_rows,selected_cnt,pipeline_size,invested,leverage,pos_cnt,excess_return,max_leverage,max_drawdown,sortino,period_label,sharpe,alpha,beta,trading_days,algorithm_period_return,treasury_period_return,benchmark_period_return,benchmark_volatility,algo_volatility
2024-05-14 10:00:00+00:00,2024-05-14 03:46:00+00:00,2024-05-14 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-05,,0.0,0.0,58,0.0,0.0,0.7671096309118197,0.4628636412099051,0.0
2024-05-15 10:00:00+00:00,2024-05-15 03:46:00+00:00,2024-05-15 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-05,,0.0,0.0,59,0.0,0.0,0.7668905224640936,0.45935836155604776,0.0
2024-05-16 10:00:00+00:00,2024-05-16 03:46:00+00:00,2024-05-16 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-05,,0.0,0.0,60,0.0,0.0,0.8225440681865488,0.45755691565182893,0.0
2024-05-17 10:00:00+00:00,2024-05-17 03:46:00+00:00,2024-05-17 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-05,,0.0,0.0,61,0.0,0.0,0.8323929929118417,0.4538437272860637,0.0
2024-05-21 10:00:00+00:00,2024-05-21 03:46:00+00:00,2024-05-21 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-05,,0.0,0.0,62,0.0,0.0,0.8821086997009169,0.45137576517581973,0.0
2024-05-22 10:00:00+00:00,2024-05-22 03:46:00+00:00,2024-05-22 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-05,,0.0,0.0,63,0.0,0.0,0.844454912959169,0.4518956033037658,0.0
2024-05-23 10:00:00+00:00,2024-05-23 03:46:00+00:00,2024-05-23 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-05,,0.0,0.0,64,0.0,0.0,0.8420447200341807,0.44887077270435916,0.0
2024-05-24 10:00:00+00:00,2024-05-24 03:46:00+00:00,2024-05-24 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-05,,0.0,0.0,65,0.0,0.0,0.8505899494955027,0.4454738601637883,0.0
2024-05-27 10:00:00+00:00,2024-05-27 03:46:00+00:00,2024-05-27 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-05,,0.0,0.0,66,0.0,0.0,0.831165985604575,0.4438248157609252,0.0
2024-05-28 10:00:00+00:00,2024-05-28 03:46:00+00:00,2024-05-28 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-05,,0.0,0.0,67,0.0,0.0,0.8034816332343693,0.44304647411515,0.0
2024-05-29 10:00:00+00:00,2024-05-29 03:46:00+00:00,2024-05-29 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-05,,0.0,0.0,68,0.0,0.0,0.7934026446389639,0.44064968546852334,0.0
2024-05-30 10:00:00+00:00,2024-05-30 03:46:00+00:00,2024-05-30 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-05,,0.0,0.0,69,0.0,0.0,0.807644693741167,0.43740223225571423,0.0
2024-05-31 10:00:00+00:00,2024-05-31 03:46:00+00:00,2024-05-31 10:00:00+00:00,0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,[],0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,,2024-05,,0.0,0.0,70,0.0,0.0,0.8162008786248751,0.43429576043639506,0.0
